Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily.1,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg.,Dividend Growth Rate,Payout Ratio,ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
Usiminas PNA,USIM5,BM&FBovespa,Materiais Básicos,Ferro e Aço,"16,36","-0,37","21,04B",18808400.0,"30,1","0,410","16,09B",22.128.066,"0,55","1,91","0,04",-,Neutro,Venda Forte,Venda,Compra Forte,Compra Forte,"-0,37","-8,91","0,74","11,98","221,25","50,23","312,26%","0,8%","30,1","1,31","7,27","7,27","1,36","1,59",610.75%,214.52%,6.1%,41.35%,7.62%,9.57%,1.15%,0.57,3.34,-,-,7.61,"18,90","3,97","-13,44","312,09","23,03%","20,24%","14,8%","18,2%","8,89%","11,47%","5,77%","8,03%","3,49%","1,77","2,64","39,48%","40,58%",-,"13,95%","7,53%","41,076","0,9307","-1,6680","-140,3262","-0,5321","-8,038","47,821","39,891","0,000","32,328","-83,279"
Cielo ON,CIEL3,BM&FBovespa,Financeiro,Serviços Financeiros ao Consumidor,"3,63","0,83","9,78B",21700700.0,"20,07","-0,020","11,19B",42.843.601,"0,18","0,91","0,33",-,Compra Forte,Neutro,Neutro,Venda Forte,Venda Forte,"0,83","2,54","0,83","-9,25","-26,37","-79,77","-9,77%","1,35%","20,07","0,87","4,33","4,33","1,03",-,34%,-68.48%,-30.06%,1.52%,-1.48%,0.11%,-38.26%,0.12,-,2.72M,153.80K,0.16,"5,84","3,15","-37,84","15,24","-12,41%","27,85%","42,62%","7,42%","26,35%","8,5%","34,76%","5,65%","24,41%",-,"1,13","93,81%","94,24%","5,53%","-24,07%","33,95%","29,921","0,1464","0,0120","56,6494","0,0214","1,681","50,983","72,215","84,453","54,152","-23,913"
Embraer ON,EMBR3,BM&FBovespa,Bens de Capital,Transporte Espacial e Defesa,"13,19","0,69","9,70B",17566100.0,-,"0,690","19,64B",17.656.934,"-4,91","0,67",-,-,Venda Forte,Venda,Neutro,Compra Forte,Neutro,"0,69","-5,45","7,85","49,04","30,21","-38,08","44,75%","1,48%",-,"0,49","6,93","19,52","0,66","2,49",99.13%,-174.51%,2.46%,14.29%,-9.91%,-0.66%,-14.98%,0.4,1.91,1.25M,-229.67K,6.59,"15,04","5,77","-12,30","128,60","39,14%","12,17%","15,68%","-8,56%","-1,39%","-16,86%","-3,99%","-18,31%","-4,88%","1,51","2,53","145,98%","159,67%","0,88%","-6,21%",-,"29,933","0,9500","-0,8580","-62,2379","0,0000","2,886","53,954","42,670","3,162","46,338","-60,855"
BR Malls Par ON,BRML3,BM&FBovespa,Serviços,Atividades Imobiliárias,"9,82","0,82","8,50B",23246700.0,-,"0,160","915,09M",17.893.978,"-0,35","1,13",-,-,Venda Forte,Compra,Compra Forte,Compra,Venda Forte,"0,82","8,87","17,60","-0,81","-14,53","-14,68","8,95%","9,88%","34,82","9,29","25,01","25,01","0,76","0,8",-58.02%,-122.35%,16.7%,-23.99%,-27.22%,-7.67%,-,0.05,-,1.85M,-679.01K,3.17,"12,20","7,71","-19,51","27,37","-12,57%","87,88%","89,88%","-29,88%","44,88%","-52,71%","23,97%","-36,73%","25,16%",-,"4,01","33,64%","34,86%","2,45%","-32,3%","422,2%","33,478","0,4300","0,7680","110,4415","0,4557","12,615","63,383","67,385","100,000","52,725","-14,660"
Cogna Educacao,COGN3,BM&FBovespa,Serviços,Educação,"3,99","2,84","7,28B",40521200.0,-,"-0,070","6,19B",51.596.267,"-1,06","1,64",0,-,Compra Forte,Compra Forte,Venda Forte,Venda Forte,Venda Forte,"2,84","0,50","6,68","-13,82","-31,79","-69,14","-13,39%","3,34%","31,68","1,18","33,42","17,14","0,42","4,25","-5,729.64%",-434.26%,-28.24%,-17.13%,-11.86%,13.24%,13%,0.18,5.97,229.68K,-72.65K,2.81,"9,96","3,42","-59,94","16,67","-17,26%","59,44%","60,28%","-15,18%","24,89%","-28,75%","23,57%","-31,63%","23,25%","1,84","1,94","57,1%","72,09%","2,46%","-29,85%","65,19%","18,545","0,2121","-0,1520","-62,4136","0,0000","-1,966","47,956","42,385","63,732","45,869","-56,667"
Grendene ON,GRND3,BM&FBovespa,Consumo Cíclico,Calçados,"7,79","-0,76","7,08B",1935100.0,"17,5","0,070","1,90B",1.400.900,"0,45","0,61","0,17",-,Venda Forte,Venda Forte,Venda Forte,Neutro,Neutro,"-0,76","-2,87","9,56","-7,04","-5,12","-9,84","12,14%","6,55%","17,5","3,73","76,95","335,35","1,67","1,69",-42.2%,-50.54%,-5.95%,25.74%,-8.41%,-2.95%,-1.98%,0.41,3.45,103.42K,22.09K,1.74,"9,32","5,95","-16,42","30,92","-7,78%","46,1%","47,36%","15,88%","20,69%","23,12%","31,8%","21,36%","29,3%","8,22","9,12","1,89%","2,38%","3,84%","-26,22%","114,46%","33,388","0,2407","-0,1600","-34,5892","0,0000","0,000","50,237","63,754","18,904","47,367","-51,685"
Ecorodovias ON,ECOR3,BM&FBovespa,Transporte,Transporte,"11,14","-1,42","6,31B",4670800.0,-,"-0,140","4,00B",3.792.433,"-0,75","1,18",-,-,Venda Forte,Venda Forte,Venda Forte,Venda Forte,Venda,"-1,42","-2,28","1,00","-16,68","-1,42","37,70","13,23%","5,37%","19,49","1,58","17,15","17,15","112,23",-,-863.11%,-123.43%,-0.3%,-4.12%,1.19%,7.89%,13.85%,0.35,-,825.21K,-86.24K,21.43,"14,97","8,01","-25,58","39,08","-9,07%","41,08%","42,56%","21,64%","28,39%","1,98%","11,02%","-10,45%","-0,25%",-,"0,69","12.275,47%","15.127,03%","4,33%","2,61%",0%,"27,595","0,5079","-0,1320","-0,7537","0,0000","-0,536","45,159","55,758","67,327","45,656","-42,697"
Smiles ON,SMLS3,BM&FBovespa,Tecnologia,Serviços de Informática,"24,85","0,00","3,09B",8112900.0,"15,75","0,650","572,91M",1.175.190,"1,58","1,37","1,27",-,Compra Forte,Compra Forte,Compra Forte,Compra Forte,Compra Forte,"0,00","11,19","18,45","5,97","83,01","-59,58","134,96%","4,85%","15,75","5,39","5,01","3,39","2,28","2,38",-49.98%,-68.74%,-12.08%,-16.62%,-45.49%,-14.02%,74.93%,0.18,-,3.54M,1.21M,1.28,"25,28","9,38","-1,70","164,93","-2,28%","82,71%","70,15%","35,06%","51,42%","50,36%","66,19%","34,2%","48,73%",-,"1,63",0%,0%,-,"-33,82%","80,44%","30,362","1,2929","3,7780","156,7652","2,0407","16,558","66,994","66,842","100,000","58,308","-4,147"
Lojas Quero-Quero ON,LJQQ3,BM&FBovespa,Serviços,Comércio Varejista (Reforma),"15,45","2,32","2,83B",843900.0,"38,04","-0,470","1,62B",2.021.281,"0,4",-,"0,07",-,Compra Forte,Compra Forte,Neutro,Venda,Compra Forte,"2,32","3,83","-7,93","-5,27",-,-,-,"0,38%","38,04","1,74","40,13","30,4","5,9","6,49",83.95%,109.58%,-,28.53%,20.62%,-,-,-,-,231.59K,9.70K,-,"21,15","12,41","-26,95","24,50","-5,46%","41,32%",-,"9,47%",-,"6,07%",-,"4,19%",-,"1,31","1,64","98,06%","142,65%",-,-,"18,56%","42,821","0,8014","-0,7100","0,0695","0,0000","-8,140","45,407","65,429","92,628","56,920","-47,500"
Positivo Inf ON,POSI3,BM&FBovespa,Tecnologia,Equipamentos de Hardware,"5,89","-5,91","887,67M",5737200.0,"4,59","0,440","2,19B",2.115.238,"1,36","1,66","0,03",-,Venda Forte,Venda Forte,Compra Forte,Compra Forte,Compra Forte,"-5,91","4,06","30,89","15,49","62,71","68,77","152,42%","0,51%","4,59","0,4","2,17","22,89","0,86","0,96","2,182.73%",617.21%,-6.9%,53.05%,14.46%,3.53%,-9.92%,0.92,3.06,1.22M,108.80K,4.58,"6,73","2,67","-12,48","120,60","-0,66%","20,47%","24,67%","12,67%","6,34%","12,43%","2,86%","8,93%","1,84%","1,14","1,61","32,63%","78,68%","1,84%","7,75%","2,37%","52,508","0,4129","0,9100","68,3452","0,4350","39,480","63,833","75,211","69,206","51,986","-30,108"
Azevedo & Travassos PN,AZEV4,BM&FBovespa,Bens de Capital,Serviços de Construção,"3,50","3,86","79,99M",100000.0,-,"-0,120","16,47M",236.119,"-4,61","1,85",-,-,Compra Forte,Compra Forte,Neutro,Venda Forte,Neutro,"3,86","2,94","-1,41","4,17","107,02","-30,00","134,69%",-,-,"4,86","52,35","16,25",-,-,-82.86%,17.54%,-,"3,569.95%",547.56%,-64.98%,-53.29%,0.29,1.21,-,-,6.86,"5,84","1,51","-40,07","131,79","2,31%","-7,74%","-21,26%","-92,61%","-41,38%","-193,06%","-53,76%","-195,89%","-55,6%","0,06","0,15",-,-,-,-,-,"27,261","0,1400","0,0760","86,8118","0,0000","0,862","48,336","22,989","100,000","35,465","-64,286"
