symbol,result,estrategia
BRKM5,10016.2,bolinger
BRKM5,10014.42,sma1020
PRIO3,10013.989999999998,sma1020
VALE3,10010.56,bolinger
PCAR3,10009.01,sma1020
ETER3,10007.96,bolinger
CSNA3,10007.84,bolinger
JBSS3,10007.06,bolinger
PRIO3,10006.71,bolinger
GGBR4,10006.11,sma1020
ELET6,10005.929999999998,sma1020
JBSS3,10005.81,sma1020
GGBR4,10005.310000000001,bolinger
ELET3,10005.310000000001,sma1020
GGBR4,10004.960000000001,sma1030
RENT3,10004.96,bolinger
CSNA3,10004.79,sma1030
EMBR3,10004.619999999999,sma1020
LUPA3,10004.57,bolinger
EMBR3,10004.48,bolinger
CSNA3,10004.23,sma1020
SBSP3,10004.189999999999,bolinger
LUPA3,10004.179999999998,sma1020
USIM5,10004.16,bolinger
POSI3,10004.06,bolinger
LUPA3,10004.050000000001,sma1030
ETER3,10003.66,sma1020
ETER3,10003.66,sma1030
VALE3,10003.43,sma1030
POSI3,10003.289999999999,sma1030
CSAN3,10003.19,sma1020
POSI3,10002.819999999998,sma1020
MRFG3,10002.789999999999,sma1020
LREN3,10002.74,bolinger
EQTL3,10002.710000000001,bolinger
SMLS3,10002.65,bolinger
GOAU4,10002.58,sma1020
IGTA3,10002.55,sma1030
CVCB3,10002.51,bolinger
USIM5,10002.470000000001,sma1020
CRFB3,10002.43,bolinger
SUZB3,10002.39,bolinger
GOAU4,10002.3,bolinger
GOAU4,10002.23,sma1030
GNDI3,10002.160000000002,sma1020
EQTL3,10002.16,sma1030
ELET6,10002.07,sma1030
MRFG3,10002.02,bolinger
ELET3,10001.85,sma1030
BEEF3,10001.83,bolinger
INTB3,10001.75,sma1020
MULT3,10001.609999999999,bolinger
LCAM3,10001.53,bolinger
BRDT3,10001.52,bolinger
BRFS3,10001.39,bolinger
BPAC11,10001.31,sma1020
MRVE3,10001.27,sma1030
BEEF3,10001.269999999999,sma1030
CVCB3,10001.26,sma1020
BEEF3,10001.199999999999,sma1020
ELET6,10001.179999999998,bolinger
RAIL3,10001.14,sma1020
SMLS3,10001.08,sma1020
CRFB3,10001.07,sma1030
HYPE3,10001.050000000001,bolinger
LIGT3,10001.04,bolinger
MRVE3,10001.04,bolinger
BBDC4,10001.0,bolinger
CVCB3,10000.949999999999,sma1030
HYPE3,10000.91,sma1030
ENEV3,10000.909999999998,sma1020
HGTX3,10000.89,sma1020
SMLS3,10000.880000000001,sma1030
BRML3,10000.85,sma1020
GOLL4,10000.84,sma1030
UGPA3,10000.84,bolinger
ABEV3,10000.839999999998,bolinger
MOVI3,10000.82,bolinger
STBP3,10000.77,bolinger
CYRE3,10000.77,sma1030
BPAN4,10000.759999999998,bolinger
B3SA3,10000.73,bolinger
LIGT3,10000.7,sma1030
EGIE3,10000.66,sma1030
CMIG4,10000.66,bolinger
LCAM3,10000.640000000001,sma1030
ENBR3,10000.61,bolinger
TOTS3,10000.6,sma1020
CCRO3,10000.59,sma1020
CRFB3,10000.56,sma1020
BBDC4,10000.54,sma1030
JHSF3,10000.53,sma1030
STBP3,10000.52,sma1020
HGTX3,10000.51,sma1030
ECOR3,10000.5,sma1030
MEAL3,10000.5,bolinger
CCRO3,10000.490000000002,sma1030
ENBR3,10000.460000000001,sma1020
ITUB4,10000.45,bolinger
RADL3,10000.45,bolinger
RENT3,10000.449999999999,sma1030
STBP3,10000.44,sma1030
CPLE6,10000.439999999999,bolinger
BRML3,10000.43,sma1030
VVAR3,10000.43,bolinger
CYRE3,10000.42,bolinger
INTB3,10000.41,bolinger
ABEV3,10000.400000000001,sma1020
BBDC3,10000.38,sma1030
MEAL3,10000.359999999999,sma1020
PETR3,10000.34,bolinger
MEAL3,10000.34,sma1030
ABEV3,10000.34,sma1030
ECOR3,10000.33,bolinger
CMIN3,10000.320000000002,sma1020
IGTA3,10000.32,bolinger
RAIL3,10000.300000000001,bolinger
BBDC3,10000.3,bolinger
ECOR3,10000.29,sma1020
MOVI3,10000.29,sma1020
SULA11,10000.28,bolinger
ENEV3,10000.26,sma1030
HBSA3,10000.25,sma1020
COGN3,10000.23,bolinger
WEGE3,10000.23,sma1020
CMIN3,10000.220000000001,bolinger
CIEL3,10000.22,sma1030
ENBR3,10000.210000000001,sma1030
OIBR3,10000.19,sma1020
LREN3,10000.19,sma1030
HBSA3,10000.179999999998,bolinger
GMAT3,10000.160000000002,bolinger
COGN3,10000.16,sma1030
CIEL3,10000.16,sma1020
SBSP3,10000.15,sma1030
VVAR3,10000.14,sma1030
AZUL4,10000.12,sma1020
CCRO3,10000.119999999999,bolinger
CIEL3,10000.11,bolinger
