symbol,result,estrategia
EMBR3,10004.679999999998,bolinger
EMBR3,10004.619999999999,sma1020
POSI3,10004.06,bolinger
USIM5,10003.390000000001,bolinger
POSI3,10003.289999999999,sma1030
POSI3,10002.819999999998,sma1020
SMLS3,10002.710000000001,bolinger
USIM5,10002.470000000001,sma1020
SMLS3,10001.08,sma1020
SMLS3,10000.880000000001,sma1030
LJQQ3,10000.86,sma1020
BRML3,10000.85,sma1020
GRND3,10000.58,bolinger
GRND3,10000.54,sma1020
ECOR3,10000.5,sma1030
GRND3,10000.48,sma1030
BRML3,10000.43,sma1030
ECOR3,10000.33,bolinger
ECOR3,10000.29,sma1020
CIEL3,10000.22,sma1030
CIEL3,10000.17,bolinger
CIEL3,10000.16,sma1020
COGN3,10000.16,sma1030
BRML3,10000.08,bolinger
COGN3,10000.03,sma1020
COGN3,10000.01,bolinger
LJQQ3,10000.0,sma1030
EMBR3,10000.0,sma1030
AZEV4,9999.900000000001,bolinger
AZEV4,9999.78,sma1030
USIM5,9999.6,sma1030
AZEV4,9999.34,sma1020
LJQQ3,9997.01,bolinger
