Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily.1,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg.,Dividend Growth Rate,Payout Ratio,ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
Oi ON,OIBR3,BM&FBovespa,Serviços,Serviços de Comunicações,"1,80","0,00","10,80B",115979300.0,-,"-0,060","18,91B",149.361.052,"-2,45","1,53",-,-,Neutro,Venda Forte,Venda Forte,Venda Forte,Neutro,"0,00","-0,55","-4,26","-18,18","260,00","-39,39","291,3%",-,"0,11","0,57",-,-,"2,33","4,37",54.09%,4.38%,12.48%,-5.9%,-8.14%,-6.55%,6.7%,0.26,47.07,1.25M,-962.75K,2.92,"2,59","0,46","-30,50","291,30","-9,62%","22,35%",35%,"-4,43%","1,18%","-78,92%","-3,72%","-77,24%","-5,02%","1,47","1,5","564,18%","595,37%",-,-,0,"21,613","0,1043","-0,1000","-100,6369","0,0000","-9,045","44,538","35,119","59,972","39,558","-60,714"
Petrobras PN,PETR4,BM&FBovespa,Energia,Extração de Petróleo e Gás natural,"23,20","1,67","295,52B",78839800.0,"41,88","-0,660","272,07B",94.266.139,"0,54","1,72",0,-,Compra Forte,Compra Forte,Neutro,Venda Forte,Neutro,"1,67","-0,17","4,32","-18,14","61,23","9,80","72,23%","3,45%","41,88","1,09","2,64","2,64","0,97","1,28",634.64%,-76.31%,1.81%,-8.31%,-9.98%,-3.29%,-15.92%,0.28,5.54,5.55M,127.34K,13.69,"31,76","12,83","-26,95","80,83","-16,67%","36,33%","33,29%","18,24%","17,14%","0,01%","5,63%","2,3%","3,3%","0,83","1,04","110,63%","127,28%","2,87%",-,"24,5%","33,735","0,8800","-0,8760","-6,8102","0,0000","3,618","46,294","60,301","79,828","51,352","-28,440"
Bradesco PN,BBDC4,BM&FBovespa,Financeiro,Bancos Regionais,"26,62","2,23","215,77B",54849200.0,"13,9","0,410","73,97B",47.654.519,"1,87","1,25","0,69",-,Compra Forte,Compra Forte,Compra Forte,Compra Forte,Compra Forte,"2,23","0,57","15,74","-1,85","34,42","9,67","44,3%","2,17%","13,9","1,9","1,57","1,57","1,6","1,64",11.9%,-26.73%,-0.77%,1.84%,-1.98%,-1.03%,-0.22%,-,-,-,-,-,"28,41","15,76","-6,30","68,91","-7,03%",-,-,"4,49%","11,23%","4,49%","11,23%","14,76%","10,79%",-,-,"53,73%","204,81%","4,29%","-10,06%","33,53%","35,492","0,8443","0,9920","82,8974","0,6657","6,310","60,758","81,888","81,999","63,437","-9,873"
Via Varejo ON,VVAR3,BM&FBovespa,Serviços,Comércio Varejista Especializado,"12,04","5,24","19,23B",52192100.0,"18,52","-0,440","28,90B",48.591.838,"0,62","1,87",-,-,Compra Forte,Compra Forte,Neutro,Venda Forte,Venda,"5,24","3,70","1,43","-25,50","111,23","50,88","128,34%",-,"18,52","0,63","32,89","43,63","3,06","4,22",131.98%,156.77%,129.38%,24.39%,12.65%,8.45%,0.56%,1.01,3.62,-,-,4.44,"22,36","3,96","-46,15","204,04","-19,20%","32,75%","31,25%","5,6%","2,39%","3,19%","-1,04%","3,47%","-0,51%","0,71","1,04","95,45%","218,41%",-,-,0%,"35,856","0,6693","-0,6800","-35,3720","0,0000","0,083","45,416","57,130","100,000","52,338","-26,846"
Itau Unibanco PN,ITUB4,BM&FBovespa,Financeiro,Bancos Regionais,"27,65","1,77","253,14B",51970400.0,"14,11","-0,100","105,72B",41.180.929,"1,93","1,09","1,3",-,Compra Forte,Compra Forte,Neutro,Venda Forte,Neutro,"1,77","-1,78","8,22","-12,54","15,14","-6,98","21,94%","1,83%","14,11","1,9","5,48","5,48","1,85","2,01",3.21%,-30.45%,-4.84%,-2.34%,-8.06%,-2.69%,3.2%,-,-,-,-,-,"33,44","19,83","-17,31","39,44","-9,84%",-,-,"3,93%","23,07%","3,93%","23,07%","11,33%","19,68%",-,-,"125,94%","400,56%","5,96%","9,27%","26,4%","23,505","0,8979","-0,4160","-19,1898","0,0000","0,072","50,745","60,494","45,289","55,902","-45,148"
Magazine Luiza ON,MGLU3,BM&FBovespa,Serviços,Comercio Varejista (Departamento e Desconto),"20,30","-0,34","132,38B",48748400.0,"340,35","-1,010","29,18B",36.668.293,"0,06","0,91","0,05",-,Venda Forte,Venda Forte,Venda Forte,Venda,Compra Forte,"-0,34","-8,89","-16,05","-18,64","97,90","556,96","122,62%","0,23%","340,35","4,54","75,19","75,19","17,97","24,34",31.77%,-59.78%,44.35%,57.65%,46.72%,26.58%,28.11%,1.31,4.45,-,-,7.6,"28,28","8,31","-28,22","144,28","-4,31%","25,77%","28,02%","2,83%","5,41%","1,42%","3,45%","1,34%","2,77%","0,81","1,25","29,96%","57,51%","0,29%",45%,"43,4%","53,703","1,0921","-3,9380","-168,8894","-2,2929","-19,220","27,831","28,192","0,000","31,908","-94,477"
Cogna Educacao,COGN3,BM&FBovespa,Serviços,Educação,"3,99","2,84","7,28B",40521200.0,-,"-0,070","6,19B",51.596.267,"-1,06","1,64",0,-,Compra Forte,Compra Forte,Venda Forte,Venda Forte,Venda Forte,"2,84","0,50","6,68","-13,82","-31,79","-69,14","-13,39%","3,34%","31,68","1,18","33,42","17,14","0,42","4,25","-5,729.64%",-434.26%,-28.24%,-17.13%,-11.86%,13.24%,13%,0.18,5.97,229.68K,-72.65K,2.81,"9,96","3,42","-59,94","16,67","-17,26%","59,44%","60,28%","-15,18%","24,89%","-28,75%","23,57%","-31,63%","23,25%","1,84","1,94","57,1%","72,09%","2,46%","-29,85%","65,19%","18,545","0,2121","-0,1520","-62,4136","0,0000","-1,966","47,956","42,385","63,732","45,869","-56,667"
Hapvida ON,HAPV3,BM&FBovespa,Saúde,Estabelecimentos de Saúde,"15,45","4,53","57,40B",35465300.0,"70,08","-0,410","8,55B",11.888.945,"0,21",-,"0,07",-,Compra Forte,Compra Forte,Neutro,Neutro,Compra Forte,"4,53","1,91","-0,32","1,42","53,97",-,"75,47%","0,33%","70,08","6,42","72,73","72,73","7,01","23,8",-56.65%,-14.15%,14.41%,27.34%,51.83%,28.32%,56.11%,0.66,59.74,-,-,23.43,"18,48","7,30","-16,40","111,64","-9,73%","39,11%","39,7%","14,81%","17,25%","13,24%","18,65%","9,18%","13,77%","1,6","1,65","38,31%","39,41%",-,-,0%,"28,228","0,6271","-0,7160","-39,4153","0,0000","-1,215","46,849","42,000","91,103","53,734","-38,667"
IRB Brasil ON,IRBR3,BM&FBovespa,Financeiro,Seguros de Vida,"6,10","0,83","7,66B",29141000.0,-,"-0,130","8,82B",46.350.138,"-1,56","1,26","0,13",-,Venda,Venda Forte,Venda Forte,Venda Forte,Venda Forte,"0,83","-1,13","1,67","-25,43","-32,37","-50,57","-18,57%","6,25%","9,34","0,87","1.590,36","11,05","1,78","1,83",-926.75%,-347.31%,15.03%,-1.93%,15.11%,17.19%,12.72%,0.44,-,22.86M,-3.94M,-,"12,88","5,33","-52,64","14,45","-16,67%",-,-,"-17,03%","14,76%","-21,85%","8,34%","-17,24%","7,02%",-,-,"19,18%","19,28%",-,"-10,52%","88,99%","29,332","0,2957","-0,1280","-24,3758","0,0000","-0,974","46,000","39,962","54,262","40,172","-60,227"
JBS ON,JBSS3,BM&FBovespa,Consumo Não-Cíclico,Processamento de Alimentos,"27,97","1,64","73,50B",25690700.0,"15,81","0,470","251,27B",13.692.019,"1,74","0,35","0,54",-,Venda Forte,Neutro,Compra Forte,Compra Forte,Compra Forte,"1,64","4,80","8,33","18,22","30,85","198,82","32,69%","1,96%","15,81","0,27","4,51","4,14","1,79","23,18",67.02%,-23.51%,1.56%,33.14%,32.11%,10.65%,1.13%,1.86,11.24,1.08M,18.62K,21.48,"28,39","18,33","-1,48","52,59","6,78%","16,73%","15,01%","7,59%","5,51%","3,06%","1,63%","1,72%","1,26%","0,93","1,48","164,9%","179,49%","1,27%","154,02%","23,77%","36,921","0,8986","1,7380","123,7812","0,3429","1,157","61,685","61,201","84,451","48,497","-17,904"
